date,rainfall,temperature_2m,humidity,dewpoint_2m,apparent_temperature,pressure,precipitation,tithi_index,nakshatra_index,yoga_index,karana_index,vara_index,moon_phase_angle,moon_distance_km,sun_lon,moon_lon
1940-01-01,0.0,23.304166666666664,73.04166666666667,17.991666666666667,24.116666666666664,1012.8625,0.3,21,11,3,0,1,254.82377187482305,369037.4562288071,257.1489371244569,151.9723427657689
1940-01-02,0.0,23.245833333333334,70.66666666666667,17.3625,24.10833333333333,1011.8916666666668,0.2,22,12,4,2,2,267.90455641490314,371553.8386480453,258.16841575136044,166.0727665387796
1940-01-03,0.0,23.308333333333334,73.08333333333333,17.904166666666665,24.195833333333336,1011.7083333333334,0.1,23,13,5,4,3,280.7637604583519,374428.2839189674,259.1879903909422,179.95170854026824
1940-01-04,0.0,23.27916666666667,76.04166666666667,18.5125,24.5375,1010.3291666666668,0.6000000000000001,24,14,7,6,4,293.4092208314673,377508.3168086107,260.2076471926146,193.61695473159432
1940-01-05,2.3063435554504395,23.291666666666668,73.54166666666667,18.10833333333333,24.34166666666667,1010.2458333333334,0.7000000000000001,25,15,8,1,5,305.85626676677214,380701.3217257946,261.22736813372313,207.0837895993167
1940-01-06,0.0,23.3,69.58333333333333,17.025000000000002,24.1375,1009.9333333333334,0.0,26,16,9,4,6,318.1188817627133,383962.0071449893,262.2471317708817,220.36616330162772
1940-01-07,0.0,23.366666666666664,72.375,17.604166666666668,24.775,1010.0916666666668,0.0,27,17,10,6,0,330.2043183718023,387269.0855704538,263.2669140601283,233.47130838578224
1940-01-08,0.0,22.066666666666663,74.91666666666667,16.758333333333333,23.575,1009.4541666666668,0.0,28,18,11,8,1,342.1116984198075,390598.32408635534,264.28668920368824,246.39833876194
1940-01-09,0.0,22.495833333333334,76.45833333333333,17.425,24.5125,1008.6458333333334,0.0,29,19,12,9,2,353.8342582397199,393898.7160957701,265.306430487726,259.14049105729885
1940-01-10,0.0,22.616666666666664,76.70833333333333,17.870833333333334,24.433333333333334,1008.8208333333332,0.2,0,20,13,0,3,5.364193304501813,397076.9309745452,266.3261110675008,271.6899638070684
1940-01-11,0.0,22.1875,71.41666666666667,16.116666666666667,23.09583333333333,1009.8708333333334,0.1,1,21,14,2,4,16.698619548352703,399992.8124073674,267.3457046506337,284.0438732697081
1940-01-12,0.0,22.1625,64.16666666666667,14.483333333333334,22.3125,1009.8,0.0,2,22,15,4,5,27.84514033518692,402466.1103630376,268.3651860358576,296.20981625626433
1940-01-13,0.0,22.20833333333333,62.41666666666666,13.916666666666666,22.258333333333336,1009.3625,0.0,3,23,16,6,6,38.82589711515573,404292.5146859542,269.38453148616424,308.20991882018285
1940-01-14,0.0,22.325,61.875,13.775,22.3125,1009.6291666666666,0.0,4,24,17,1,0,49.67959842574168,405265.876796077,270.40371894531484,320.08286542244787
1940-01-15,0.0,22.4625,66.58333333333333,15.245833333333332,22.991666666666664,1008.7833333333332,0.0,5,24,18,3,1,60.461582817322,405203.3248342986,271.422728134501,331.8839634946161
1940-01-16,0.0,22.35,69.91666666666667,15.9,23.40833333333333,1007.9875,0.0,5,25,19,4,2,71.24226689463136,403970.4866550781,272.4415405854245,343.68359378537616
1940-01-17,0.0,22.579166666666666,66.66666666666667,15.104166666666666,23.704166666666666,1007.05,0.0,6,26,20,6,3,82.10430913315852,401504.7481521973,273.4601396745201,355.56437659534055
1940-01-18,0.0,23.183333333333334,69.83333333333333,16.758333333333333,24.725,1007.3958333333334,0.0,7,0,21,1,4,93.1385630403645,397834.9419742341,274.4785107221122,7.617127348479052
1940-01-19,0.0,23.84583333333333,70.45833333333333,17.629166666666666,25.65833333333333,1008.4666666666668,0.0,8,1,22,3,5,104.43854050150776,393095.7955623929,275.4966412107609,19.935322625089547
1940-01-20,0.0,23.508333333333336,70.25,17.2375,24.791666666666668,1009.2458333333334,0.0,9,2,23,5,6,116.09282925284732,387534.7930392939,276.5145211571512,32.60752110801958
